index,WoFCO2,W,L,XCO2,Ntubes,heat,deltaP,Re,COfinal
39,12.482047782822635,3120.5119457056585,2.2272727272727275,0.1180213661178866,50927.93898489769,345.060271775209,-11.366184224925746,8854.66370162132,29.50634152947155
40,12.73678345185983,3184.1958629649575,2.2727272727272725,0.11965305696738926,50233.46551102355,349.8307012727139,-11.5978650399029,8854.66370162132,29.91426424184727
41,12.991519120897028,3247.879780224257,2.3181818181818183,0.12125802490347223,49568.59865326072,354.5230033636236,-11.829538919982951,8854.66370162132,30.31550622586805
42,13.246254789934225,3311.563697483556,2.3636363636363638,0.12283635717082927,48931.70927501413,359.13743311749414,-12.06120608543415,8854.66370162132,30.710089292707337
43,13.500990458971419,3375.2476147428547,2.409090909090909,0.12438811105551303,48321.301032020034,363.67415801646564,-12.292866728103036,8854.66370162132,31.098027763878292
44,13.755726128008614,3438.9315320021537,2.4545454545454546,0.12591336198395436,47735.97976971503,368.1333985780882,-12.524521096679564,8854.66370162132,31.479340495988538
45,14.010461797045812,3502.615449261453,2.5,0.12741213099492119,47174.471531877716,372.5152163115409,-12.756169347483137,8854.66370162132,31.85403274873034
46,14.265197466083007,3566.299366520752,2.5454545454545454,0.1288844654236434,46635.58235847605,376.81974960662444,-12.987811722098286,8854.66370162132,32.22211635591088
47,14.519933135120205,3629.9832837800514,2.590909090909091,0.1303304044390919,46118.20394001109,381.04711297817795,-13.21944843368783,8854.66370162132,32.583601109772935
48,14.774668804157402,3693.6672010393504,2.6363636363636362,0.13174998128228754,45621.30560171536,385.19740361002084,-13.4510796456766,8854.66370162132,32.93849532057185
49,15.029404473194594,3757.3511182986485,2.6818181818181817,0.13314324307071626,45143.92116350099,389.27075925535803,-13.682705592543698,8854.66370162132,33.28681076767907
50,15.284140142231795,3821.035035557949,2.7272727272727275,0.13453377601213048,44677.330207836596,393.3361368132432,-13.914326864039595,8854.66370162132,33.63444400303267
51,15.538875811268994,3884.7189528172485,2.772727272727273,0.1359054639893718,44226.417115381766,397.34641902448317,-14.145943168841768,8854.66370162132,33.97736599734298
52,15.79361148030619,3948.4028700765475,2.8181818181818183,0.13725451745065448,43791.73515758566,401.2905267133724,-14.37755469169133,8854.66370162132,34.31462936266367
53,16.048347149343385,4012.0867873358466,2.8636363636363638,0.13858125664247006,43372.49711799342,405.16939615611096,-14.609161574696827,8854.66370162132,34.646314160617564
54,16.303082818380577,4075.7707045951447,2.909090909090909,0.1398859255769039,42967.98800580897,408.9837407491429,-14.840763967072235,8854.66370162132,34.972481394225994
55,16.55781848741778,4139.454621854445,2.9545454545454546,0.1411688160405588,42577.52174182756,412.734413563023,-15.07236206066409,8854.66370162132,35.29320401013973
56,16.812554156454976,4203.138539113744,3.0,0.14243011993068205,42200.48291271206,416.421975630674,-15.30395603310808,8854.66370162132,35.60852998267046
